#hugo	sublist
ZBTB38	negative_c
MLLT4	negative_c
RICTOR	negative_c
SCGB1C1	negative_c
MAP3K3	negative_c
CCDC17	negative_c
TECTA	negative_c
PRKCZ	negative_c
MAST1	negative_c
ARHGAP23	negative_c
PIANP	negative_c
ZNF609	negative_c
LOC100289388	negative_c
ELMOD3	negative_c
SLC23A2	negative_c
STRIP1	negative_c
SMYD4	negative_c
BAI2	negative_c
GARNL3	negative_c
RIMBP2	negative_c
GABRP	negative_c
STARD10	negative_c
MYO10	negative_c
CROCCP3	negative_c
C1ORF159	negative_c
EPB41L3	negative_c
PCDHA1	negative_c
CHRFAM7A	negative_c
CEP85L	negative_c
BEST4	negative_c
PHACTR1	negative_c
UBE2D4	negative_c
BSN	negative_c
PACSIN2	negative_c
TMC2	negative_c
SSH1	negative_c
TIMM22	negative_c
SHROOM2	negative_c
LOC283588	negative_c
PRPH2	negative_c
TMEM255A	negative_c
ARHGAP33	negative_c
SYNRG	negative_c
LOC158696	negative_c
VPS13C	negative_c
DTX1	negative_c
SGSM1	negative_c
ADAM19	negative_c
GRAMD4	negative_c
KCNH8	negative_c
ZBTB4	negative_c
RAB7B	negative_c
MAP4K4	negative_c
SPECC1L	negative_c
DYNC1I2	negative_c
VSTM2A	negative_c
GRB10	negative_c
ERMAP	negative_c
PDE6G	negative_c
PRKAR1B	negative_c
LDLRAD3	negative_c
RNPC3	negative_c
DMRTA2	negative_c
MMP15	negative_c
ZFPM2	negative_c
HMGB3P1	negative_c
PELP1	negative_c
PCDHGC3	negative_c
C5ORF42	negative_c
RAD51L3-RFFL	negative_c
RAP1GAP2	negative_c
VWA7	negative_c
LOC100506063	negative_c
SLC38A2	negative_c
HDAC5	negative_c
SDC3	negative_c
LOC653486	negative_c
FLII	negative_c
AMY2B	negative_c
PPFIBP2	negative_c
AKAP7	negative_c
CADM3	negative_c
H6PD	negative_c
KLHL38	negative_c
TAGLN2	negative_c
ZNF300P1	negative_c
MARC2	negative_c
LOC728537	negative_c
PICK1	negative_c
CHRNB4	negative_c
KRT19	negative_c
LOC100131825	negative_c
