#hugo	exprssn_associated_to_larger_survival
CSMD3	high
GPATCH4	high
MRPS18C	high
MRPS7	high
SRSF2	high
NFXL1	high
PHF8	high
ARHGAP19	high
SLC37A4	high
DTYMK	high
RBM4	high
PTRHD1	high
EIF3E	high
RPS20	high
TXN	high
HNRNPKP3	high
CKLF-CMTM1	high
WWOX	high
FANCF	high
CD320	high
ZNF280C	high
TRIM28	high
BTF3	high
TCEB2	high
METTL1	high
UBL5	high
ZNF227	high
SSR2	high
SURF4	high
AMD1	high
JTB	high
NASP	high
TP53	high
CALR	high
TFAP2D	high
FAM132B	high
DDX50	high
FAU	high
LOC100127888	high
ATP11C	high
DDX21	high
TRMT5	high
SMC1A	high
ANLN	high
FAM166A	high
CCDC47	high
PCOLCE2	high
RAD54L	high
KIRREL2	high
NUP205	high
SYCE2	high
RBM14-RBM4	high
RPS25	high
PPIF	high
SEC23A	high
BCCIP	high
DDHD1	high
VGF	high
DTD2	high
CASC5	high
FKBPL	high
NDNL2	high
EXOSC2	high
SMC6	high
SMYD3	high
ALDH1B1	high
C4ORF27	high
VTI1B	high
RAD9A	high
TGS1	high
RPL9	high
PLEKHG4B	high
RHNO1	high
DDX31	high
RPL18A	high
KLF15	high
SSSCA1	high
ZRANB3	high
SPDL1	high
LENG1	high
LMNB1	high
LZTFL1	high
SRSF1	high
ALMS1	high
TMEM126A	high
THAP10	high
FH	high
MBNL3	high
HSPE1	high
GPR75-ASB3	high
RPL6	high
RBM34	high
EIF2AK4	high
RPL27	high
MRPL13	high
RMND5A	high
PTRH2	high
EEF1A1	high
THOC7	high
SUPV3L1	high
CBS	high
C3ORF17	high
TOR1A	high
STPG1	high
MAP3K15	high
SLC12A8	high
ERI2	high
TMEM48	high
ETV4	high
RYK	high
SLC25A38	high
RPL3	high
RPL35A	high
PSMC4	high
GOLGA5	high
FASTKD3	high
MRPS23	high
PRDX2	high
EIF5	high
CTNNBL1	high
MPV17L2	high
GEMIN2	high
GRPEL1	high
LTA4H	high
DEPDC1	high
TFAM	high
RPSAP58	high
PKMYT1	high
GNPDA2	high
C11ORF84	high
B3GNT5	high
RPSAP9	high
FAM213A	high
LINC00839	high
TPI1	high
RPSA	high
RPIA	high
LRP5	high
SRD5A3	high
FAM58A	high
SNHG7	high
FBXO22-AS1	high
PIH1D1	high
NOLC1	high
MNAT1	high
C4ORF52	high
ATP5C1	high
DAXX	high
ZNF766	high
STEAP2	high
SLC30A3	high
GTSF1	high
ZNF768	high
THUMPD3	high
KLRG2	high
PAQR9	high
PHB	high
GDI2	high
QSER1	high
FERMT1	high
ELFN2	high
LIN9	high
WHSC2	high
EIF5B	high
DCAF13P3	high
DPP3	high
ANAPC1	high
COPB1	high
ATP6V1C2	high
AHCTF1	high
TMEM186	high
TRAPPC6A	high
C17ORF53	high
TRMT1	high
NEDD8	high
MRPS17	high
MRPS35	high
DPH5	high
TMEM165	high
NEDD1	high
SOX12	high
METTL21A	high
GSPT2	high
CSTF3	high
TTLL12	high
UBA5	high
ZNF595	high
LEPREL4	high
RPL23	high
NCL	high
ZNF256	high
KIF6	high
PPA1	high
FBXO22	high
SNHG5	high
RET	high
CACYBP	high
UBXN1	high
NABP2	high
SHISA3	high
ZNF434	high
NDUFA1	high
JAGN1	high
NUDCD1	high
P4HB	high
HK2	high
PPRC1	high
GNPDA1	high
ZNF799	high
MRPL39	high
GNAI3	high
POGK	high
RPS10	high
FAM86C1	high
NUP54	high
OCIAD2	high
CYB561D2	high
ZNF726	high
NT5C1B-RDH14	high
CHAF1B	high
SVIP	high
SPRTN	high
LOC145694	high
SPIN2B	high
ISY1	high
SMEK1	high
ZNF507	high
TTI2	high
MIR4751	high
YEATS4	high
SPECC1	high
ZNF718	high
MIR621	high
RPL29	high
EIF3G	high
MRPS24	high
NHEJ1	high
CHST14	high
HSPA4	high
TPM4	high
RFC1	high
ZNF408	high
PLAA	high
USP7	high
RPS6	high
THEM6	high
SYNJ2BP-COX16	high
RBM42	high
CEP135	high
EIF4G1	high
PRLHR	high
SPICE1	high
RPL35	high
CENPO	high
CDC42EP3	high
APPL1	high
FAM155B	high
MTAP	high
SPA17	high
SPHK2	high
STX10	high
CCP110	high
KATNB1	high
TMEM189-UBE2V1	high
HOMEZ	high
RACGAP1P	high
MTERFD1	high
PAQR3	high
ERN2	high
AIRN	high
FXR1	high
C15ORF61	high
MTCP1	high
C3ORF38	high
ORC1	high
POLR1E	high
C11ORF74	high
LINC00665	high
TWIST1	high
LOC100133286	high
AMBN	high
CBLN1	high
KLC3	high
XRCC2	high
GRSF1	high
POLD3	high
CBX3	high
SSX4	high
ZNF581	high
RNF4	high
ASB3	high
VDAC2	high
DCUN1D1	high
TRAPPC5	high
NAIF1	high
PSIMCT-1	high
LOC389906	high
PLAGL2	high
ST6GAL2	high
RPS12	high
DLEU1	high
ZNF682	high
DCAF13	high
RIBC2	high
MPV17L	high
TMEM203	high
NANS	high
AHSA1	high
PFN2	high
CHCHD3	high
LIN54	high
AGPAT5	high
REPIN1	high
NANP	high
RPL17	high
FAM183A	high
TMEM41A	high
GANAB	high
SHKBP1	high
PPAN	high
SSX4B	high
ALG8	high
POLG	high
G6PD	high
FBP2	high
NXN	high
YDJC	high
STRA6	high
LRPPRC	high
COA4	high
SRFBP1	high
NAT8L	high
NOP10	high
STIL	high
RNF126	high
GIPC1	high
PFDN2	high
PTPN2	high
TMEM254	high
GUF1	high
ENOPH1	high
SMS	high
TUT1	high
SRSF3	high
ABCB7	high
EFNB1	high
LOC128322	high
FANCD2	high
PFDN4	high
TIMM44	high
TBX1	high
USP38	high
MAGOH	high
ESF1	high
UBE2A	high
RPL7	high
PABPC3	high
C19ORF54	high
TIPRL	high
NDUFV3	high
FGF19	high
QRSL1	high
TMED3	high
CCSER1	high
RPL23A	high
KIF2C	high
ATP5J	high
URGCP-MRPS24	high
MYPOP	high
ZC3H18	high
SLC20A1	high
SLC35F2	high
B4GALT3	high
RECQL4	high
LARS2	high
SIX4	high
UBR7	high
BEGAIN	high
BEND4	high
PABPC1	high
UTP23	high
HOXD10	high
MYBL1	high
DHX32	high
LOC283731	high
MVB12A	high
ECSIT	high
TIMM13	high
EIF4E	high
CCT6A	high
RPL10A	high
NFKBIB	high
ANKRD32	high
BCAS4	high
ZDHHC9	high
FAM225A	high
